word,prob,freq,plural
caret,34.101094319958314,,
trace,34.101094319958314,21026.0,
likes,34.10109431995831,,Plural
tikes,34.09762028834462,,Plural
kites,34.09762028834462,,Plural
leant,34.09067222511725,,
dregs,34.08719819350356,,Plural
pearl,34.07330206704881,,
paler,34.07330206704881,,
taper,34.06982803543512,,
treap,34.06982803543512,,
prate,34.06982803543512,,
pater,34.06982803543512,,
okras,34.05245787736668,,Plural
shake,34.0455098141393,85841.0,
ferns,34.03856175091193,,Plural
nerfs,34.03856175091193,,Plural
poesy,34.03856175091193,,
sepoy,34.03856175091193,,
suave,34.03508771929824,,
fames,34.02466562445718,,Plural
pyres,34.02119159284349,,Plural
preys,34.02119159284349,,Plural
files,33.97950321347924,,Plural
flies,33.97950321347924,,Plural
feist,33.97602918186556,,
dices,33.972555150251864,,Plural
felts,33.955184992183426,,Plural
lefts,33.955184992183426,,Plural
spied,33.94128886572868,,
sheaf,33.923918707660235,,
janes,33.92044467604656,,Plural
jeans,33.92044467604656,17273.0,Plural
comes,33.92044467604655,,Plural
mines,33.91349661281917,,Plural
trays,33.91349661281917,,Plural
satyr,33.91349661281917,,
stray,33.91349661281917,,
miens,33.91349661281917,,Plural
artsy,33.91349661281917,,
nards,33.89612645475074,,Plural
rands,33.89612645475074,,Plural
darns,33.89612645475074,,Plural
rebus,33.89265242313705,,Plural
rubes,33.89265242313705,,Plural
mopes,33.88917839152336,,Plural
epsom,33.88917839152336,,
poems,33.88917839152336,,Plural
sperm,33.87180823345493,,
perms,33.87180823345493,,Plural
afore,33.84749001215911,,
wrens,33.84401598054542,,Plural
dials,33.837067917318045,,Plural
early,33.83359388570436,224665.0,
relay,33.83359388570436,,
layer,33.83359388570436,34911.0,
staid,33.83359388570436,,
teary,33.830119854090675,,
anode,33.830119854090675,,
irons,33.819697759249614,,Plural
rosin,33.819697759249614,,
echos,33.81969775924961,,Plural
chose,33.81969775924961,,
shine,33.81274969602224,21543.0,
snort,33.7953795379538,,
hopes,33.78843147472642,,Plural
thens,33.788431474726416,,Plural
wiles,33.78495744311273,,Plural
loams,33.78495744311273,,Plural
molas,33.78495744311273,,Plural
moats,33.781483411499046,,Plural
atoms,33.781483411499046,,Plural
stoma,33.781483411499046,,
